MONA_CD,HJ_NM,HG_NM,PROFILE_UNIT_NM,PROFILE_UNIT_CD,PROFILE_SJ,FRTO_DATE
6YT83269,李明洙,이명수,제21대,100021.0,제21대 외교통일위원회,2021.10.18 ~ 2021.10.20
6YT83269,李明洙,이명수,제21대,100021.0,제21대 행정안전위원회,2020.07.06 ~ 2021.10.18
6YT83269,李明洙,이명수,제21대,100021.0,제21대 보건복지위원회,2020.06.15 ~ 2020.07.06
6YT83269,李明洙,이명수,제20대,100020.0,제20대 보건복지위원회,2018.07.16 ~ 2020.05.29
6YT83269,李明洙,이명수,제20대,100020.0,제20대 청년미래 특별위원회,2017.12.06 ~ 2018.05.29
6YT83269,李明洙,이명수,제20대,100020.0,제20대 행정안전위원회,2017.07.26 ~ 2018.05.29
6YT83269,李明洙,이명수,제20대,100020.0,제20대 정치발전 특별위원회,2017.01.09 ~ 2017.06.30
6YT83269,李明洙,이명수,제20대,100020.0,제20대 저출산·고령화대책 특별위원회,2016.07.15 ~ 2017.06.30
6YT83269,李明洙,이명수,제20대,100020.0,제20대 정치발전 특별위원회,2016.07.13 ~ 2016.07.15
6YT83269,李明洙,이명수,제20대,100020.0,제20대 안전행정위원회,2016.06.17 ~ 2017.07.25
6YT83269,李明洙,이명수,제20대,100020.0,제20대 보건복지위원회,2016.06.13 ~ 2016.06.17
6YT83269,李明洙,이명수,제19대,100019.0,제19대 동북아역사왜곡대책 특별위원회,2015.09.03 ~ 2015.12.31
6YT83269,李明洙,이명수,제19대,100019.0,제19대 중동호흡기증후군 대책 특별위원회,2015.06.10 ~ 2015.07.31
6YT83269,李明洙,이명수,제19대,100019.0,제19대 국민안전혁신 특별위원회,2014.11.07 ~ 2015.07.31
6YT83269,李明洙,이명수,제19대,100019.0,제19대 보건복지위원회,2014.06.24 ~ 2016.05.29
6YT83269,李明洙,이명수,제19대,100019.0,제19대 동북아역사왜곡대책 특별위원회,2013.06.28 ~ 2015.06.30
6YT83269,李明洙,이명수,제19대,100019.0,제19대 정치쇄신 특별위원회,2013.04.08 ~ 2013.09.30
6YT83269,李明洙,이명수,제19대,100019.0,제19대 국토교통위원회,2013.03.22 ~ 2014.05.29
6YT83269,李明洙,이명수,제19대,100019.0,제19대 국토해양위원회,2012.07.09 ~ 2013.03.21
6YT83269,李明洙,이명수,제18대,100018.0,제18대 저출산고령화대책특별위원회,2011.07.18 ~ 2012.05.29
6YT83269,李明洙,이명수,제18대,100018.0,제18대 예산결산특별위원회,2011.06.01 ~ 2012.05.29
6YT83269,李明洙,이명수,제18대,100018.0,제18대 예산결산특별위원회,2010.11.30 ~ 2011.05.29
6YT83269,李明洙,이명수,제18대,100018.0,제18대 행정안전위원회,2010.06.08 ~ 2012.05.29
6YT83269,李明洙,이명수,제18대,100018.0,제18대 예산결산특별위원회,2010.06.08 ~ 2010.11.26
6YT83269,李明洙,이명수,제18대,100018.0,제18대 일자리만들기특별위원회,2010.03.16 ~ 2011.06.30
6YT83269,李明洙,이명수,제18대,100018.0,제18대 중앙선거관리위원회위원(이한구)선출에 관한 인사청문특별위원회,2009.09.22 ~ 2009.09.25
6YT83269,李明洙,이명수,제18대,100018.0,제18대 지방행정체제개편특별위원회,2009.05.28 ~ 2010.09.16
6YT83269,李明洙,이명수,제18대,100018.0,제18대 행정안전위원회,2008.11.19 ~ 2010.05.29
6YT83269,李明洙,이명수,제18대,100018.0,제18대 법제사법위원회,2008.11.10 ~ 2008.11.19
6YT83269,李明洙,이명수,제18대,100018.0,제18대 규제개혁특별위원회,2008.09.30 ~ 2009.08.25
6YT83269,李明洙,이명수,제18대,100018.0,제18대 행정안전위원회,2008.08.26 ~ 2008.11.10
6YT83269,李明洙,이명수,제18대,100018.0,제18대 국회법및국회상임위원회위원정수에관한규칙개정특별위원회,2008.07.15 ~ 2008.08.11
HKJ99607,李炳勳,이병훈,제21대,100021.0,제21대 문화체육관광위원회,2022.07.22 ~ 
HKJ99607,李炳勳,이병훈,제21대,100021.0,제21대 문화체육관광위원회,2020.06.15 ~ 2022.05.29
ZYH1940A,李相珉,이상민,제21대,100021.0,제21대 외교통일위원회,2022.07.22 ~ 
ZYH1940A,李相珉,이상민,제21대,100021.0,제21대 외교통일위원회,2020.06.15 ~ 2022.05.29
ZYH1940A,李相珉,이상민,제20대,100020.0,제20대 사법개혁 특별위원회,2019.03.13 ~ 2019.08.05
ZYH1940A,李相珉,이상민,제20대,100020.0,제20대 과학기술정보방송통신위원회,2018.07.16 ~ 2020.05.29
ZYH1940A,李相珉,이상민,제20대,100020.0,제20대 과학기술정보방송통신위원회,2017.07.26 ~ 2018.05.29
ZYH1940A,李相珉,이상민,제20대,100020.0,제20대 미래창조과학방송통신위원회,2017.07.11 ~ 2017.07.25
ZYH1940A,李相珉,이상민,제20대,100020.0,제20대 국방위원회,2017.06.28 ~ 2017.07.11
ZYH1940A,李相珉,이상민,제20대,100020.0,제20대 헌법개정 특별위원회,2017.01.03 ~ 2017.12.31
ZYH1940A,李相珉,이상민,제20대,100020.0,제20대 미래창조과학방송통신위원회,2016.06.13 ~ 2017.06.28
ZYH1940A,李相珉,이상민,제20대,100020.0,제20대 예산결산특별위원회,2016.06.13 ~ 2017.05.29
ZYH1940A,李相珉,이상민,제19대,100019.0,제19대 법제사법위원회,2014.06.24 ~ 2016.05.29
ZYH1940A,李相珉,이상민,제19대,100019.0,제19대 방송공정성 특별위원회,2013.07.29 ~ 2013.11.30
ZYH1940A,李相珉,이상민,제19대,100019.0,제19대 미래창조과학방송통신위원회,2013.03.25 ~ 2014.05.29
ZYH1940A,李相珉,이상민,제19대,100019.0,제19대 교육문화체육관광위원회,2013.03.22 ~ 2013.03.25
ZYH1940A,李相珉,이상민,제19대,100019.0,제19대 헌법재판소 재판관(강일원·김이수·안창호) 선출에 관한 인사청문특별위원회,2012.09.04 ~ 2012.09.19
ZYH1940A,李相珉,이상민,제19대,100019.0,제19대 예산결산특별위원회,2012.07.09 ~ 2013.05.29
ZYH1940A,李相珉,이상민,제19대,100019.0,제19대 교육과학기술위원회,2012.07.09 ~ 2013.03.21
ZYH1940A,李相珉,이상민,제18대,100018.0,제18대 교육과학기술위원회,2012.03.08 ~ 2012.05.29
ZYH1940A,李相珉,이상민,제18대,100018.0,제18대 문화체육관광방송통신위원회,2012.02.24 ~ 2012.03.08
ZYH1940A,李相珉,이상민,제18대,100018.0,제18대 대법관(박병대)임명동의에 관한 인사청문특별위원회,2011.05.17 ~ 2011.06.01
ZYH1940A,李相珉,이상민,제18대,100018.0,제18대 감사원장(양건)임명동의에 관한 인사청문특별위원회,2011.02.22 ~ 2011.03.10
ZYH1940A,李相珉,이상민,제18대,100018.0,제18대 예산결산특별위원회,2010.06.11 ~ 2011.05.29
ZYH1940A,李相珉,이상민,제18대,100018.0,제18대 교육과학기술위원회,2010.06.08 ~ 2012.02.24
ZYH1940A,李相珉,이상민,제18대,100018.0,제18대 윤리특별위원회,2010.06.08 ~ 2010.06.11
ZYH1940A,李相珉,이상민,제18대,100018.0,제18대 정치개혁특별위원회,2009.05.28 ~ 2010.06.29
ZYH1940A,李相珉,이상민,제18대,100018.0,제18대 미래전략 및 과학기술특별위원회,2008.09.30 ~ 2009.08.25
ZYH1940A,李相珉,이상민,제18대,100018.0,제18대 교육과학기술위원회,2008.08.26 ~ 2010.05.29
ZYH1940A,李相珉,이상민,제18대,100018.0,제18대 미국산쇠고기수입위생조건개정관련한·미기술협의의과정등실태규명국정조사특별위원회,2008.07.15 ~ 2008.09.05
ZYH1940A,李相珉,이상민,제17대,100017.0,제17대 대법관(차한성)임명동의에관한인사청문특별위원회,2008.02.15 ~ 2008.02.29
ZYH1940A,李相珉,이상민,제17대,100017.0,제17대 예산결산특별위원회,2007.07.03 ~ 2008.05.29
ZYH1940A,李相珉,이상민,제17대,100017.0,제17대 헌법재판소재판관후보자를겸하는헌법재판소장(이강국)임명동의에관한인사청문특별위원회,2007.01.04 ~ 2007.01.19
ZYH1940A,李相珉,이상민,제17대,100017.0,"제17대 대법관(김능환,박일환,안대희,이홍훈,전수안)임명동의에관한인사청문특별위원회",2006.06.22 ~ 2006.06.30
ZYH1940A,李相珉,이상민,제17대,100017.0,제17대 법제사법위원회,2006.06.20 ~ 2008.05.29
ZYH1940A,李相珉,이상민,제17대,100017.0,제17대 예산결산특별위원회,2006.06.20 ~ 2007.05.29
ZYH1940A,李相珉,이상민,제17대,100017.0,제17대 국민연금제도개선특별위원회,2006.02.13 ~ 2006.02.28
ZYH1940A,李相珉,이상민,제17대,100017.0,제17대 장애인특별위원회,2005.03.30 ~ 2005.12.31
ZYH1940A,李相珉,이상민,제17대,100017.0,제17대 대법관(김영란)임명동의에관한인사청문특별위원회,2004.07.30 ~ 2004.08.16
ZYH1940A,李相珉,이상민,제17대,100017.0,제17대 윤리특별위원회,2004.07.05 ~ 2006.05.29
ZYH1940A,李相珉,이상민,제17대,100017.0,제17대 재정경제위원회,2004.07.05 ~ 2006.05.29
ZYH1940A,李相珉,이상민,제17대,100017.0,제17대 국회개혁특별위원회,2004.07.05 ~ 2005.06.30
WVU2479T,李相憲,이상헌,제21대,100021.0,제21대 문화체육관광위원회,2022.07.22 ~ 
WVU2479T,李相憲,이상헌,제21대,100021.0,제21대 국회 2030 부산세계박람회 유치지원 특별위원회,2022.01.12 ~ 
WVU2479T,李相憲,이상헌,제21대,100021.0,제21대 문화체육관광위원회,2020.06.15 ~ 2022.05.29
WVU2479T,李相憲,이상헌,제20대,100020.0,제20대 예산결산특별위원회,2019.07.05 ~ 2020.05.29
WVU2479T,李相憲,이상헌,제20대,100020.0,제20대 문화체육관광위원회,2018.07.18 ~ 2020.05.29
WVU2479T,李相憲,이상헌,제20대,100020.0,제20대 예산결산특별위원회,2018.07.16 ~ 2019.05.29
WVU2479T,李相憲,이상헌,제20대,100020.0,제20대 교육문화체육관광위원회,2018.07.16 ~ 2018.07.18
8KF7223D,李成萬,이성만,제21대,100021.0,제21대 행정안전위원회,2022.07.22 ~ 
